,Marital_Status,Gender,Income,Children,Education,Occupation,Home_Owner,Cars,Commute_Distance,Region,Age,Purchased_Bike
425,0,0,100000.0,1,3,4,0,3.0,1,1,44.0,0
426,0,1,100000.0,1,3,4,0,3.0,1,1,44.0,0
427,0,0,100000.0,1,4,5,1,3.0,2,1,73.0,1
428,1,1,110000.0,1,5,5,1,2.0,1,1,44.0,0
429,0,0,110000.0,1,3,4,1,4.0,3,1,45.0,1
430,1,0,110000.0,1,5,5,1,3.0,3,1,45.0,0
431,0,0,110000.0,1,5,5,1,1.0,3,1,43.0,0
432,1,1,120000.0,1,5,5,1,2.0,0,3,46.0,1
433,1,0,120000.0,1,5,5,1,4.0,0,1,38.0,0
434,1,0,120000.0,1,2,4,1,4.0,3,1,46.0,1
435,1,1,120000.0,1,2,4,0,4.0,2,1,45.0,0
436,0,1,130000.0,1,4,5,0,1.0,0,3,36.0,1
437,1,1,130000.0,1,5,5,1,4.0,2,1,44.0,1
438,1,1,130000.0,1,5,5,1,3.0,0,1,45.0,1
439,1,0,130000.0,1,4,5,1,4.0,0,1,41.0,0
440,1,1,130000.0,1,5,5,1,2.0,0,1,45.0,1
441,1,0,130000.0,1,4,5,1,4.0,0,1,40.0,0
442,0,1,130000.0,1,5,5,0,1.0,2,1,45.0,0
443,0,0,130000.0,1,5,5,0,4.0,0,1,44.0,0
444,0,1,130000.0,1,5,5,0,3.0,0,1,45.0,1
445,0,0,150000.0,1,3,4,0,3.0,0,1,44.0,1
446,0,0,250000.0,1,4,5,0,4.0,0,1,66.0,0
447,1,1,10000.0,2,3,1,1,0.0,1,2,50.0,0
448,0,1,10000.0,2,2,1,1,1.0,0,2,38.0,1
449,1,1,10000.0,2,3,1,1,1.0,0,2,50.0,1
450,0,1,10000.0,2,2,1,1,0.0,0,2,35.0,0
451,0,0,10000.0,2,2,1,1,0.0,0,2,35.0,0
452,1,0,10000.0,2,3,1,1,0.0,1,2,49.0,0
453,0,0,10000.0,2,3,1,1,1.0,0,2,52.0,1
454,1,0,10000.0,2,3,1,1,1.0,2,2,52.0,0
455,0,0,10000.0,2,3,1,0,0.0,0,2,50.0,0
456,1,1,10000.0,2,2,1,0,1.0,0,2,38.0,0
457,0,0,10000.0,2,2,1,1,0.0,0,2,36.0,1
458,1,1,10000.0,2,3,1,1,0.0,1,2,51.0,0
459,0,1,10000.0,2,3,1,1,0.0,0,2,51.0,1
460,1,1,10000.0,2,3,1,1,0.0,1,2,49.0,0
461,1,1,10000.0,2,2,1,1,0.0,0,2,37.0,1
462,0,0,10000.0,2,1,3,1,2.0,3,3,58.0,0
463,1,0,10000.0,2,5,3,1,1.0,0,2,66.0,0
464,0,1,10000.0,2,2,1,1,1.0,0,2,38.0,1
465,1,1,10000.0,2,1,3,1,2.0,3,3,58.0,0
466,0,0,10000.0,2,3,1,1,1.0,0,2,51.0,1
467,1,0,10000.0,2,3,1,1,0.0,1,2,51.0,0
468,0,1,10000.0,2,5,3,0,1.0,2,2,68.0,0
469,0,1,10000.0,2,2,1,1,0.0,0,2,36.0,1
470,0,1,10000.0,2,2,1,1,2.0,1,1,53.0,1
471,1,1,10000.0,2,2,1,1,2.0,1,1,53.0,0
472,1,0,20000.0,2,1,3,1,2.0,3,3,58.0,0
473,1,0,20000.0,2,3,1,1,1.0,0,2,48.0,1
474,0,0,20000.0,2,1,3,1,2.0,3,3,55.0,1
475,1,1,20000.0,2,3,1,1,0.0,0,2,63.0,0
476,0,1,20000.0,2,2,1,1,0.0,0,2,40.0,1
477,0,0,20000.0,2,2,1,1,2.0,0,2,42.0,0
478,1,1,20000.0,2,1,3,1,2.0,3,3,55.0,1
479,0,1,20000.0,2,3,1,0,1.0,0,2,54.0,1
480,1,1,20000.0,2,2,1,1,0.0,0,2,40.0,1
481,1,0,20000.0,2,1,3,1,3.0,3,3,54.0,0
482,0,0,20000.0,2,1,3,1,2.0,3,3,57.0,0
483,1,1,20000.0,2,3,1,1,1.0,2,2,47.0,1
484,1,0,20000.0,2,2,1,1,2.0,0,2,42.0,0
485,0,1,20000.0,2,3,1,0,1.0,0,2,53.0,1
486,1,1,20000.0,2,3,1,1,1.0,0,2,46.0,1
487,0,0,20000.0,2,2,1,1,1.0,0,2,40.0,0
488,1,1,20000.0,2,1,3,0,2.0,0,1,48.0,0
489,1,0,20000.0,2,1,3,1,2.0,1,1,49.0,0
490,1,0,20000.0,2,2,1,0,2.0,0,1,53.0,0
491,0,1,20000.0,2,1,3,1,2.0,1,1,49.0,0
492,1,1,20000.0,2,2,1,0,2.0,1,1,53.0,1
493,1,1,20000.0,2,1,3,1,2.0,0,1,49.0,0
494,0,1,30000.0,2,3,3,0,0.0,0,2,43.0,0
495,1,0,30000.0,2,3,3,0,2.0,0,2,42.0,0
496,0,0,30000.0,2,3,3,1,2.0,3,3,68.0,0
497,0,1,30000.0,2,3,3,1,2.0,0,2,42.0,0
498,0,1,30000.0,2,3,3,0,2.0,3,3,60.0,1
499,1,1,30000.0,2,3,3,0,2.0,0,3,67.0,0
500,0,1,30000.0,2,3,3,1,0.0,0,2,43.0,0
501,0,1,30000.0,2,3,3,1,2.0,0,2,42.0,0
502,1,1,30000.0,2,3,3,0,2.0,3,3,69.0,0
503,0,1,30000.0,2,3,3,0,2.0,3,3,60.0,1
504,1,1,30000.0,2,3,3,1,2.0,3,3,69.0,0
505,0,1,30000.0,2,3,3,0,2.0,3,3,67.0,0
506,0,1,30000.0,2,3,3,0,2.0,3,3,67.0,0
507,1,1,30000.0,2,3,3,0,2.0,0,3,69.0,0
508,0,0,30000.0,2,3,3,1,2.0,0,2,42.0,0
509,1,0,30000.0,2,2,2,0,2.0,0,1,49.0,0
510,0,1,30000.0,2,2,2,0,2.0,0,1,49.0,0
511,1,1,30000.0,2,2,2,1,2.0,1,1,48.0,0
512,1,0,30000.0,2,2,2,1,2.0,1,1,49.0,0
513,1,0,30000.0,2,2,2,1,2.0,1,1,50.0,0
514,0,0,30000.0,2,2,2,1,2.0,1,1,50.0,1
515,1,0,30000.0,2,2,2,1,2.0,1,1,49.0,0
516,1,0,30000.0,2,2,2,1,2.0,1,1,51.0,0
517,1,0,40000.0,2,3,3,1,1.0,1,2,35.0,1
518,0,0,40000.0,2,3,3,1,1.0,1,2,35.0,1
519,0,0,40000.0,2,3,3,1,0.0,1,2,35.0,1
520,0,0,40000.0,2,3,3,0,1.0,0,2,34.0,0
521,0,1,40000.0,2,5,5,1,2.0,3,3,65.0,1
522,0,1,40000.0,2,3,2,1,2.0,3,3,52.0,1
523,1,0,40000.0,2,5,5,1,1.0,0,3,52.0,1
524,0,0,40000.0,2,5,5,1,2.0,3,3,63.0,1
525,0,0,40000.0,2,5,5,0,1.0,3,3,52.0,1
526,0,1,40000.0,2,3,2,0,2.0,1,3,53.0,1
527,0,1,40000.0,2,3,3,1,2.0,1,2,35.0,0
528,1,1,40000.0,2,5,5,1,2.0,3,3,66.0,1
529,0,0,40000.0,2,5,5,1,2.0,3,3,65.0,1
530,1,1,40000.0,2,3,3,0,1.0,0,2,34.0,0
531,0,0,40000.0,2,3,2,0,2.0,1,3,52.0,0
532,0,0,40000.0,2,5,5,1,2.0,3,3,66.0,1
533,0,0,40000.0,2,3,3,1,0.0,1,2,33.0,1
534,1,0,40000.0,2,3,3,1,1.0,1,2,35.0,1
535,0,0,40000.0,2,3,3,0,2.0,0,2,36.0,1
536,0,0,40000.0,2,3,3,1,2.0,1,2,36.0,0
537,1,1,40000.0,2,5,5,1,2.0,0,3,66.0,1
538,0,1,40000.0,2,5,5,0,1.0,3,3,53.0,1
539,0,1,40000.0,2,3,3,1,0.0,0,2,33.0,0
540,0,0,40000.0,2,3,3,1,0.0,0,2,34.0,0
541,1,0,40000.0,2,5,5,1,2.0,0,3,67.0,0
542,1,0,40000.0,2,5,5,1,2.0,0,3,65.0,0
543,0,1,40000.0,2,3,3,1,0.0,1,2,33.0,1
544,1,0,40000.0,2,1,2,1,2.0,2,1,55.0,0
545,0,0,40000.0,2,2,4,0,1.0,2,1,58.0,1
546,0,0,40000.0,2,5,2,1,0.0,2,1,36.0,0
547,1,0,40000.0,2,3,3,1,1.0,0,1,47.0,0
548,1,1,40000.0,2,2,4,0,2.0,2,1,59.0,0
549,0,1,40000.0,2,3,3,0,1.0,1,1,47.0,1
550,1,1,40000.0,2,3,3,1,1.0,0,1,48.0,0
551,0,1,40000.0,2,2,4,1,2.0,4,1,57.0,0
552,0,0,40000.0,2,3,3,0,1.0,1,1,47.0,1
553,1,0,50000.0,2,4,5,1,1.0,3,3,64.0,1
554,0,0,50000.0,2,5,2,1,1.0,2,1,38.0,1
555,0,0,50000.0,2,5,2,1,0.0,2,1,37.0,1
556,1,0,50000.0,2,4,5,1,2.0,3,1,69.0,0
557,0,0,50000.0,2,5,2,0,1.0,0,1,39.0,1
558,1,0,50000.0,2,4,5,1,2.0,3,1,71.0,0
559,0,0,50000.0,2,5,2,0,1.0,0,1,38.0,1
560,1,0,60000.0,2,5,4,1,1.0,2,3,38.0,1
561,0,1,60000.0,2,5,4,1,1.0,2,3,37.0,1
562,1,0,60000.0,2,5,4,1,1.0,2,3,37.0,0
563,0,1,60000.0,2,5,4,0,1.0,0,3,38.0,1
564,1,0,60000.0,2,4,5,1,1.0,0,3,67.0,1
565,0,1,60000.0,2,5,4,0,1.0,0,3,39.0,1
566,0,0,60000.0,2,5,4,1,1.0,2,3,38.0,1
567,0,0,60000.0,2,5,4,0,1.0,0,3,37.0,1
568,1,0,60000.0,2,3,4,1,2.0,4,1,56.0,0
569,1,1,60000.0,2,2,4,1,2.0,3,1,49.0,0
570,1,0,60000.0,2,3,4,1,1.0,4,1,57.0,1
571,1,0,60000.0,2,2,4,1,2.0,2,1,55.0,1
572,1,1,60000.0,2,4,4,1,0.0,2,1,36.0,1
573,0,1,60000.0,2,5,5,1,0.0,4,1,58.0,0
574,1,1,60000.0,2,4,5,1,2.0,3,1,70.0,0
575,0,0,60000.0,2,3,4,1,1.0,4,1,56.0,0
576,1,0,60000.0,2,2,4,0,2.0,1,1,51.0,0
577,0,0,60000.0,2,5,5,1,0.0,4,1,57.0,0
578,1,1,60000.0,2,3,4,1,1.0,2,1,57.0,1
579,0,0,60000.0,2,1,2,1,2.0,3,1,52.0,1
580,1,1,60000.0,2,3,4,1,2.0,2,1,56.0,1
581,1,0,60000.0,2,2,4,0,2.0,3,1,50.0,0
582,1,1,60000.0,2,2,4,1,2.0,3,1,50.0,0
583,1,0,60000.0,2,2,4,0,2.0,1,1,49.0,1
584,1,1,60000.0,2,3,4,1,1.0,4,1,55.0,0
585,1,1,60000.0,2,5,5,1,0.0,4,1,56.0,0
586,1,1,60000.0,2,3,4,1,2.0,2,1,57.0,1
587,1,1,60000.0,2,3,4,1,1.0,4,1,55.0,0
588,1,0,60000.0,2,2,4,0,2.0,1,1,48.0,1
589,0,0,60000.0,2,2,4,1,2.0,3,1,51.0,0
590,1,0,60000.0,2,2,4,0,2.0,3,1,51.0,0
591,1,0,60000.0,2,2,4,1,2.0,4,1,55.0,0
592,1,0,60000.0,2,2,4,1,2.0,4,1,55.0,0
593,0,1,60000.0,2,5,2,0,0.0,0,1,36.0,1
594,0,0,60000.0,2,5,2,1,0.0,2,1,36.0,1
595,1,0,60000.0,2,2,4,1,2.0,3,1,48.0,0
596,1,0,60000.0,2,2,4,1,2.0,3,1,50.0,0
597,1,0,60000.0,2,5,5,1,0.0,2,1,59.0,0
598,1,0,60000.0,2,3,4,1,2.0,4,1,55.0,0
599,0,1,60000.0,2,1,2,0,2.0,1,1,51.0,0
600,1,0,60000.0,2,2,4,0,2.0,1,1,48.0,1
601,1,0,60000.0,2,2,4,1,2.0,2,1,54.0,1
602,1,0,60000.0,2,5,2,1,0.0,0,1,38.0,1
603,0,1,70000.0,2,2,4,1,2.0,3,3,49.0,1
604,1,0,70000.0,2,3,2,1,2.0,3,3,52.0,1
605,1,0,70000.0,2,2,2,0,2.0,1,3,50.0,1
606,1,0,70000.0,2,1,2,1,2.0,3,1,48.0,0
607,1,0,70000.0,2,5,2,1,1.0,2,1,38.0,1
608,1,1,70000.0,2,2,4,1,2.0,2,1,53.0,0
609,1,1,70000.0,2,4,4,1,0.0,2,1,34.0,1
610,0,0,70000.0,2,5,2,0,1.0,0,1,37.0,1
611,0,1,70000.0,2,3,4,1,0.0,3,1,49.0,1
612,0,1,70000.0,2,5,5,0,1.0,2,1,58.0,1
613,1,0,70000.0,2,3,4,1,1.0,4,1,59.0,0
614,0,1,70000.0,2,5,5,1,1.0,4,1,59.0,0
615,1,1,70000.0,2,3,4,1,1.0,4,1,58.0,0
616,0,1,70000.0,2,5,2,1,1.0,2,1,38.0,0
617,1,0,70000.0,2,1,2,0,2.0,1,1,49.0,0
618,1,1,70000.0,2,3,4,1,1.0,2,1,59.0,0
619,1,0,70000.0,2,1,2,1,2.0,4,1,54.0,0
620,0,0,70000.0,2,5,5,0,1.0,2,1,59.0,1
621,0,1,70000.0,2,5,5,0,1.0,2,1,59.0,1
622,1,1,70000.0,2,2,4,1,2.0,4,1,53.0,0
623,0,1,70000.0,2,1,2,0,2.0,2,1,54.0,1
624,0,1,70000.0,2,5,2,1,0.0,2,1,38.0,1
625,1,0,70000.0,2,1,2,1,2.0,4,1,53.0,0
626,0,0,80000.0,2,2,2,0,2.0,1,3,50.0,1
627,1,0,80000.0,2,2,2,0,2.0,1,3,50.0,1
628,0,1,80000.0,2,3,2,1,2.0,3,3,52.0,1
629,1,1,80000.0,2,2,2,1,2.0,3,3,50.0,1
630,1,0,80000.0,2,3,2,1,2.0,3,3,52.0,1
631,0,1,80000.0,2,1,2,1,2.0,3,1,49.0,0
632,0,1,80000.0,2,1,2,0,2.0,1,1,50.0,0
633,0,0,80000.0,2,1,2,0,2.0,1,1,52.0,0
634,1,0,80000.0,2,4,4,1,0.0,0,1,37.0,1
635,0,0,80000.0,2,1,2,0,2.0,1,1,50.0,0
636,1,0,90000.0,2,5,4,1,0.0,1,3,40.0,1
637,1,0,90000.0,2,5,4,1,1.0,3,3,47.0,0
638,0,1,90000.0,2,5,4,0,0.0,0,3,36.0,1
639,1,1,90000.0,2,5,4,0,0.0,0,3,36.0,1
640,1,1,90000.0,2,2,4,1,1.0,4,1,51.0,1
641,0,0,90000.0,2,3,4,1,1.0,2,1,48.0,1
642,1,0,90000.0,2,3,4,0,0.0,3,1,49.0,1
643,1,1,100000.0,2,5,5,1,4.0,4,2,59.0,0
644,1,0,100000.0,2,4,5,1,3.0,1,1,65.0,0
645,0,1,110000.0,2,3,4,0,3.0,3,2,48.0,0
646,0,0,110000.0,2,5,5,0,3.0,0,1,37.0,1
647,0,0,120000.0,2,5,5,0,4.0,1,1,40.0,0
648,0,0,120000.0,2,5,5,0,3.0,0,1,39.0,1
649,1,0,120000.0,2,4,5,1,3.0,3,1,64.0,0
650,1,1,120000.0,2,5,5,1,3.0,3,1,62.0,0
651,1,0,130000.0,2,4,5,1,3.0,0,1,42.0,1
652,1,0,130000.0,2,4,5,1,3.0,2,1,69.0,0
653,0,1,130000.0,2,5,5,0,4.0,0,1,67.0,0
654,1,0,130000.0,2,4,5,1,2.0,0,1,41.0,0
655,1,0,150000.0,2,2,4,1,4.0,0,2,48.0,0
656,0,0,160000.0,2,2,5,1,4.0,0,3,33.0,1
657,0,0,10000.0,3,2,1,1,1.0,0,2,39.0,1
658,1,0,10000.0,3,1,1,1,2.0,0,2,43.0,0
659,0,1,10000.0,3,1,1,1,2.0,0,2,43.0,0
660,0,0,10000.0,3,2,1,1,0.0,0,2,37.0,1
661,0,1,10000.0,3,1,1,1,2.0,0,2,43.0,0
662,1,1,20000.0,3,2,1,1,0.0,0,2,41.0,1
663,1,1,20000.0,3,2,2,0,2.0,1,3,62.0,0
664,1,1,20000.0,3,2,1,1,2.0,0,2,43.0,0
665,0,1,20000.0,3,2,1,1,1.0,0,2,42.0,1
666,0,1,20000.0,3,2,2,1,2.0,2,1,78.0,0
667,0,1,20000.0,3,1,3,0,2.0,0,1,49.0,0
668,1,0,20000.0,3,1,3,0,2.0,0,1,52.0,0
669,0,0,20000.0,3,1,3,0,2.0,0,1,50.0,0
670,0,1,20000.0,3,1,3,1,2.0,1,1,50.0,0
671,1,0,30000.0,3,3,3,1,1.0,0,2,43.0,0
672,1,1,30000.0,3,2,2,0,2.0,1,3,54.0,1
673,0,0,30000.0,3,3,3,0,2.0,1,3,59.0,1
674,0,1,30000.0,3,2,2,1,2.0,3,3,55.0,0
675,1,1,30000.0,3,3,3,0,2.0,1,3,55.0,1
676,1,1,30000.0,3,2,2,0,2.0,1,3,56.0,1
677,1,0,30000.0,3,2,2,1,2.0,3,3,55.0,0
678,1,0,30000.0,3,4,3,1,0.0,0,2,46.0,1
679,0,1,30000.0,3,3,3,1,0.0,0,2,42.0,1
680,1,1,30000.0,3,3,3,0,0.0,0,2,42.0,0
681,0,1,30000.0,3,3,3,1,2.0,0,2,27.0,0
682,0,1,30000.0,3,4,3,1,0.0,0,2,47.0,1
683,0,1,30000.0,3,4,3,0,0.0,0,2,46.0,1
684,1,0,30000.0,3,2,2,1,2.0,3,3,54.0,1
685,1,1,30000.0,3,5,3,1,0.0,0,2,45.0,0
686,0,1,30000.0,3,3,3,0,2.0,0,2,27.0,1
687,1,0,30000.0,3,3,3,0,2.0,3,3,56.0,0
688,0,0,30000.0,3,3,3,1,0.0,0,2,43.0,0
689,1,0,30000.0,3,2,2,1,2.0,3,3,54.0,1
690,0,1,30000.0,3,2,2,1,2.0,3,3,55.0,0
691,0,1,30000.0,3,3,3,0,1.0,0,2,26.0,0
692,1,1,30000.0,3,2,2,1,2.0,3,3,53.0,1
693,0,1,30000.0,3,3,3,1,2.0,0,2,28.0,1
694,1,1,30000.0,3,4,3,1,0.0,0,2,46.0,0
695,0,1,30000.0,3,5,3,1,0.0,0,2,46.0,1
696,0,1,30000.0,3,5,3,1,0.0,0,2,47.0,1
697,0,0,40000.0,3,1,3,0,2.0,3,3,52.0,1
698,0,1,40000.0,3,3,3,1,1.0,1,1,31.0,1
699,1,0,40000.0,3,3,4,0,2.0,3,1,73.0,1
700,1,1,40000.0,3,3,3,1,0.0,1,1,31.0,0
701,1,0,40000.0,3,3,4,0,2.0,3,1,54.0,1
702,0,1,40000.0,3,3,3,0,2.0,0,1,32.0,0
703,1,1,40000.0,3,3,3,1,1.0,0,1,31.0,0
704,1,1,40000.0,3,3,3,1,1.0,1,1,32.0,0
705,1,1,40000.0,3,3,4,0,2.0,1,1,54.0,1
706,1,1,40000.0,3,3,4,1,2.0,3,1,54.0,0
707,0,1,40000.0,3,3,3,1,1.0,1,1,30.0,1
708,1,0,50000.0,3,5,2,1,3.0,4,1,41.0,0
709,1,1,50000.0,3,5,2,1,2.0,0,1,41.0,0
710,0,0,50000.0,3,4,5,1,2.0,4,1,69.0,0
711,1,0,50000.0,3,5,2,1,2.0,2,1,40.0,0
712,0,0,50000.0,3,5,2,1,2.0,2,1,41.0,1
713,0,1,50000.0,3,5,2,0,1.0,0,1,40.0,0
714,0,0,60000.0,3,5,4,0,2.0,0,3,43.0,1
715,1,0,60000.0,3,5,4,1,2.0,3,3,43.0,0
716,0,1,60000.0,3,5,2,1,1.0,2,1,40.0,1
717,1,0,60000.0,3,5,4,1,1.0,2,1,48.0,1
718,0,0,60000.0,3,5,4,0,0.0,0,1,47.0,1
719,0,0,60000.0,3,5,4,0,1.0,0,1,47.0,1
720,1,0,60000.0,3,5,5,1,2.0,4,1,66.0,0
721,0,0,60000.0,3,2,4,1,2.0,4,1,54.0,1
722,1,0,60000.0,3,4,5,1,2.0,1,1,63.0,0
723,1,1,60000.0,3,4,5,1,2.0,4,1,69.0,0
724,1,0,60000.0,3,5,5,1,2.0,4,1,66.0,0
725,1,0,60000.0,3,1,2,1,2.0,3,1,52.0,1
726,1,0,60000.0,3,4,5,1,2.0,1,1,67.0,0
727,1,1,60000.0,3,4,5,1,2.0,1,1,67.0,0
728,1,0,60000.0,3,5,5,0,2.0,1,1,66.0,0
729,0,1,60000.0,3,4,5,1,2.0,3,1,53.0,1
730,1,1,60000.0,3,5,4,1,1.0,0,1,48.0,1
731,1,0,60000.0,3,2,4,0,2.0,2,1,53.0,0
732,0,1,60000.0,3,4,4,1,0.0,2,1,43.0,1
733,1,1,60000.0,3,4,4,1,0.0,2,1,43.0,1
734,1,1,60000.0,3,4,4,1,0.0,2,1,42.0,1
735,0,1,60000.0,3,5,2,1,0.0,2,1,40.0,1
736,1,0,60000.0,3,4,5,1,2.0,4,1,64.0,0
737,1,1,60000.0,3,5,5,1,2.0,4,1,66.0,0
738,0,1,60000.0,3,4,5,1,2.0,4,1,66.0,0
739,0,0,60000.0,3,2,4,1,2.0,4,1,53.0,1
740,0,1,70000.0,3,4,5,1,2.0,1,1,52.0,0
741,1,0,70000.0,3,1,2,1,2.0,3,1,52.0,0
742,0,0,70000.0,3,2,4,1,0.0,3,1,52.0,1
743,0,0,70000.0,3,4,5,1,2.0,3,1,74.0,1
744,1,1,70000.0,3,3,4,1,2.0,3,1,50.0,1
745,1,1,70000.0,3,4,4,1,0.0,2,1,35.0,1
746,0,1,70000.0,3,4,5,0,2.0,1,1,53.0,0
747,0,1,70000.0,3,4,5,1,2.0,3,1,52.0,1
748,1,0,70000.0,3,2,4,0,1.0,1,1,52.0,1
749,1,0,70000.0,3,3,4,1,1.0,3,1,49.0,0
750,0,1,70000.0,3,4,5,1,2.0,3,1,53.0,1
751,1,0,70000.0,3,4,4,1,0.0,2,1,34.0,0
752,1,0,70000.0,3,4,4,1,0.0,0,1,35.0,1
753,0,0,70000.0,3,4,4,0,0.0,0,1,35.0,1
754,0,1,70000.0,3,3,4,1,1.0,3,1,49.0,1
755,0,0,70000.0,3,4,5,0,2.0,1,1,53.0,1
756,1,0,70000.0,3,4,5,1,2.0,3,1,53.0,1
757,1,0,70000.0,3,4,4,1,0.0,0,1,35.0,1
758,1,0,80000.0,3,3,4,0,2.0,0,1,49.0,1
759,0,1,80000.0,3,5,2,1,1.0,0,1,41.0,1
760,0,0,80000.0,3,3,4,0,1.0,1,1,51.0,1
761,0,1,80000.0,3,4,4,0,0.0,0,1,36.0,1
762,1,1,80000.0,3,4,4,1,0.0,0,1,36.0,1
763,1,0,80000.0,3,3,4,0,2.0,2,1,50.0,1
764,0,1,80000.0,3,5,2,1,2.0,2,1,41.0,1
765,0,1,80000.0,3,5,2,1,2.0,2,1,41.0,1
766,0,1,80000.0,3,4,4,1,0.0,0,1,37.0,1
767,0,0,80000.0,3,5,2,1,0.0,2,1,40.0,0
768,1,0,80000.0,3,5,5,1,1.0,1,1,56.0,0
769,0,1,80000.0,3,5,2,1,3.0,4,1,40.0,1
770,0,1,90000.0,3,2,4,0,1.0,2,2,51.0,0
771,0,1,100000.0,3,3,5,0,4.0,3,2,56.0,0
772,1,0,100000.0,3,1,4,1,0.0,4,2,59.0,1
773,0,1,100000.0,3,3,5,1,4.0,4,2,56.0,0
774,1,1,100000.0,3,3,4,1,4.0,1,1,45.0,0
775,1,0,100000.0,3,5,5,1,4.0,0,1,41.0,0
776,0,0,100000.0,3,3,4,0,4.0,1,1,45.0,0
777,0,0,100000.0,3,5,5,0,3.0,1,1,38.0,0
778,0,1,110000.0,3,5,5,1,4.0,4,2,53.0,0
779,0,1,110000.0,3,5,5,0,4.0,1,1,42.0,0
780,0,0,110000.0,3,5,5,1,4.0,2,1,40.0,1
781,1,1,120000.0,3,5,5,0,2.0,4,2,52.0,1
782,0,1,120000.0,3,2,4,1,4.0,3,2,50.0,1
783,0,0,120000.0,3,2,4,0,4.0,3,2,50.0,0
784,1,1,130000.0,3,2,4,1,4.0,0,2,52.0,0
785,0,0,130000.0,3,3,4,0,3.0,0,2,51.0,1
786,1,1,130000.0,3,3,4,1,3.0,0,2,51.0,1
787,1,0,130000.0,3,2,4,1,4.0,3,2,51.0,1
788,1,1,130000.0,3,3,4,1,3.0,3,2,50.0,1
789,1,0,130000.0,3,3,4,0,3.0,3,2,51.0,1
790,1,1,130000.0,3,3,4,1,4.0,0,2,52.0,0
791,1,1,150000.0,3,2,4,1,3.0,0,2,51.0,1
792,0,1,10000.0,4,1,1,1,2.0,0,2,40.0,1
793,0,1,10000.0,4,1,1,1,2.0,0,2,40.0,0
794,0,1,10000.0,4,1,1,1,2.0,0,2,41.0,1
795,1,0,10000.0,4,1,1,1,1.0,0,2,40.0,1
796,0,1,10000.0,4,1,1,1,2.0,0,2,41.0,1
797,0,1,20000.0,4,2,1,1,1.0,0,2,43.0,1
798,1,0,20000.0,4,2,2,1,2.0,3,3,60.0,0
799,1,0,20000.0,4,2,2,1,2.0,3,3,58.0,1
800,1,0,20000.0,4,2,2,0,2.0,1,3,60.0,0
801,1,1,30000.0,4,4,3,1,0.0,0,2,45.0,1
802,1,1,30000.0,4,4,3,1,0.0,0,2,45.0,0
803,0,0,40000.0,4,2,4,1,2.0,4,1,62.0,1
804,1,0,40000.0,4,2,4,1,2.0,4,1,64.0,0
805,1,0,40000.0,4,2,4,0,2.0,4,1,61.0,1
806,1,0,40000.0,4,2,2,1,2.0,2,1,44.0,1
807,1,0,40000.0,4,3,3,0,0.0,0,1,30.0,0
808,1,1,40000.0,4,2,4,1,2.0,3,1,59.0,1
809,1,1,40000.0,4,2,4,1,2.0,3,1,69.0,0
810,1,0,40000.0,4,2,2,1,2.0,0,1,44.0,1
811,1,0,40000.0,4,2,2,1,2.0,2,1,46.0,0
812,1,1,40000.0,4,2,4,1,2.0,4,1,61.0,0
813,1,1,40000.0,4,2,2,1,2.0,2,1,43.0,0
814,1,1,50000.0,4,5,5,1,2.0,4,1,63.0,0
815,1,0,50000.0,4,5,5,1,2.0,4,1,64.0,0
816,1,0,50000.0,4,5,2,1,3.0,4,1,42.0,0
817,1,1,50000.0,4,5,5,1,2.0,1,1,64.0,1
818,1,0,50000.0,4,5,5,1,2.0,4,1,63.0,0
819,0,1,50000.0,4,5,2,1,2.0,0,1,42.0,0
820,0,0,60000.0,4,5,4,1,3.0,4,3,41.0,0
821,1,0,60000.0,4,5,4,1,0.0,2,1,46.0,0
822,0,1,60000.0,4,4,5,1,2.0,4,1,61.0,1
823,1,0,60000.0,4,5,4,1,2.0,2,1,43.0,1
824,1,0,60000.0,4,5,5,1,2.0,2,1,59.0,0
825,0,1,60000.0,4,4,2,0,0.0,0,1,47.0,1
826,0,1,60000.0,4,4,2,1,0.0,1,1,47.0,0
827,0,1,60000.0,4,5,5,1,2.0,4,1,63.0,0
828,1,0,60000.0,4,4,2,0,0.0,0,1,47.0,0
829,1,0,60000.0,4,5,5,1,2.0,4,1,60.0,0
830,0,1,60000.0,4,5,2,0,2.0,0,1,42.0,0
831,0,0,60000.0,4,5,2,0,2.0,0,1,43.0,0
832,0,1,60000.0,4,5,2,0,2.0,0,1,41.0,1
833,0,1,60000.0,4,5,2,1,2.0,2,1,41.0,1
834,1,0,60000.0,4,4,2,1,0.0,1,1,47.0,1
835,0,0,60000.0,4,4,2,1,0.0,1,1,47.0,1
836,1,0,60000.0,4,5,2,1,3.0,3,1,42.0,0
837,0,0,60000.0,4,5,4,1,2.0,2,1,43.0,1
838,0,1,60000.0,4,5,2,0,2.0,0,1,42.0,0
839,0,1,60000.0,4,5,2,1,2.0,2,1,42.0,1
840,1,1,60000.0,4,5,5,1,2.0,2,1,60.0,0
841,1,1,60000.0,4,5,2,1,2.0,0,1,42.0,0
842,1,0,60000.0,4,5,2,0,3.0,4,1,42.0,0
843,1,0,70000.0,4,2,4,1,0.0,3,1,51.0,0
844,1,1,70000.0,4,5,4,1,2.0,2,1,42.0,1
845,1,0,70000.0,4,5,5,1,1.0,1,1,58.0,0
846,1,1,70000.0,4,3,4,1,1.0,1,1,55.0,0
